Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,,,2019-03-07 23:48:36,2019-03-07 23:49:35,59.116s,PASSED
,,,,,,
Test Cases/Driver Test Cases/Login/Login,,This is the Happy Path,2019-03-07 23:48:36,2019-03-07 23:49:35,58.764s,PASSED
"startApplication(""C:\Users\denni\OneDrive\Desktop\SafeBoda\app-driver.apk"", false)",,,2019-03-07 23:48:37,2019-03-07 23:49:18,40.803s,PASSED
"tap(findTestObject(""Driver App/Login Screen/Button_Continue with Google""), 2)",,,2019-03-07 23:49:18,2019-03-07 23:49:21,3.812s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-03-07 23:49:21,2019-03-07 23:49:25,3.060s,PASSED
"tap(findTestObject(""Driver App/Login Screen/Link-Email Account""), 2)",,,2019-03-07 23:49:25,2019-03-07 23:49:26,1.830s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-03-07 23:49:26,2019-03-07 23:49:29,3.009s,PASSED
"callTestCase(findTestCase(""Driver Test Cases/Login/Logout""), [:], STOP_ON_FAILURE)",,,2019-03-07 23:49:29,2019-03-07 23:49:34,4.339s,PASSED
closeApplication(),,,2019-03-07 23:49:34,2019-03-07 23:49:35,1.428s,PASSED
