Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_Requesting Ride,,A collection of Testcases:\r\n1. Passenger requests for a Ride\r\n2. Driver Accepts the Ride,2019-03-09 13:01:11,2019-03-09 13:03:34,2m - 23.114s,PASSED
,,,,,,
Test Cases/Driver Test Cases/Login/TC_Driver Login,,This is the Happy Path,2019-03-09 13:01:11,2019-03-09 13:02:17,1m - 5.666s,PASSED
"startApplication(driverAppLocation, false)",,,2019-03-09 13:01:12,2019-03-09 13:01:56,44.041s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-03-09 13:01:56,2019-03-09 13:01:59,3.069s,PASSED
"tap(findTestObject(""Driver App/Login Screen/Button_Continue with Google""), 2)",,,2019-03-09 13:01:59,2019-03-09 13:02:01,2.448s,PASSED
"delay(5, STOP_ON_FAILURE)",,,2019-03-09 13:02:01,2019-03-09 13:02:06,5.004s,PASSED
"tap(findTestObject(""Driver App/Login Screen/Link-Email Account""), 2)",,,2019-03-09 13:02:06,2019-03-09 13:02:08,1.948s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-03-09 13:02:08,2019-03-09 13:02:11,3.006s,PASSED
"callTestCase(findTestCase(""Driver Test Cases/Login/TC_Driver Logout""), [:], STOP_ON_FAILURE)",,,2019-03-09 13:02:11,2019-03-09 13:02:15,3.710s,PASSED
closeApplication(),,,2019-03-09 13:02:15,2019-03-09 13:02:17,1.599s,PASSED
,,,,,,
Test Cases/Passenger Test Cases/Request Ride/TC_Request Ride,,,2019-03-09 13:02:17,2019-03-09 13:03:34,1m - 16.896s,PASSED
"startApplication(passengerAppLocation, false)",,,2019-03-09 13:02:17,2019-03-09 13:02:58,40.926s,PASSED
"tap(findTestObject(""Passenger App/Request Ride Screen/input_Location""), 0)",,,2019-03-09 13:02:58,2019-03-09 13:03:02,4.288s,PASSED
"tap(findTestObject(""Passenger App/Request Ride Screen/input_Location""), 0)",,,2019-03-09 13:03:02,2019-03-09 13:03:06,3.581s,PASSED
"sendKeys(findTestObject(""Passenger App/Request Ride Screen/input_Location""), destinationLocation)",,,2019-03-09 13:03:06,2019-03-09 13:03:07,1.445s,PASSED
"tap(findTestObject(""Passenger App/Request Ride Screen/dropdown_Pick upDestination Location""), 0)",,,2019-03-09 13:03:07,2019-03-09 13:03:11,3.781s,PASSED
"tap(findTestObject(""Passenger App/Request Ride Screen/icon_Search Pick Up""), 0)",,,2019-03-09 13:03:11,2019-03-09 13:03:13,1.731s,PASSED
"tap(findTestObject(""Passenger App/Request Ride Screen/input_Location""), 0)",,,2019-03-09 13:03:13,2019-03-09 13:03:14,1.423s,PASSED
"tap(findTestObject(""Passenger App/Request Ride Screen/input_Location""), 0)",,,2019-03-09 13:03:14,2019-03-09 13:03:17,2.876s,PASSED
"sendKeys(findTestObject(""Passenger App/Request Ride Screen/input_Location""), pickUpLocation)",,,2019-03-09 13:03:17,2019-03-09 13:03:19,1.690s,PASSED
"tap(findTestObject(""Passenger App/Request Ride Screen/dropdown_Pick upDestination Location""), 0)",,,2019-03-09 13:03:19,2019-03-09 13:03:23,3.944s,PASSED
"tap(findTestObject(""Passenger App/Request Ride Screen/RadioButton_Cash""), 0)",,,2019-03-09 13:03:23,2019-03-09 13:03:25,1.892s,PASSED
"tap(findTestObject(""Passenger App/Request Ride Screen/Button_Request""), 0)",,,2019-03-09 13:03:25,2019-03-09 13:03:28,3.474s,PASSED
"delay(3, STOP_ON_FAILURE)",,,2019-03-09 13:03:28,2019-03-09 13:03:31,3.001s,PASSED
"tap(findTestObject(""Passenger App/Request Ride Screen/Close_Pick up Screen""), 2)",,,2019-03-09 13:03:31,2019-03-09 13:03:32,1.096s,PASSED
closeApplication(),,,2019-03-09 13:03:32,2019-03-09 13:03:34,1.390s,PASSED
